entries_per_stack,stack,operation,median_us,min_batch_us,max_batch_us,rounds,corpus,repeats
1000000,IPv4,build random,1120698.937,1068616.625,1309203.735,5,2,1
1000000,IPv4,build sorted general API,1019157.792,791116.378,1262477.000,5,2,1
1000000,IPv4,build sorted sorted API,641213.132,607338.164,1306842.604,5,2,1
1000000,IPv4,sort only,182083.541,180476.619,201738.541,5,2,1
1000000,IPv4,sort plus sorted build,1247496.563,932967.333,1476477.992,5,2,1
1000000,IPv4,insert one,1.108,1.069,1.146,5,2,500
1000000,IPv4,remove one,2.054,1.908,2.155,5,2,500
1000000,IPv4,apply remove plus add,3.082,3.064,3.503,5,2,500
1000000,IPv4,diff existing old/new both ways,103300.011,86260.116,131838.772,5,2,2
1000000,IPv4,rebuild random new plus diff,1516221.583,1299075.146,1741025.569,5,2,1
1000000,IPv4,diff after one add,47337.431,42649.255,57930.639,5,2,2
1000000,IPv4,diff after one remove,50573.479,47743.313,58539.000,5,2,2
1000000,IPv4,one add plus compute diff,65048.813,63571.646,80425.282,5,2,2
1000000,IPv4,one remove plus compute diff,78998.326,70452.101,86766.694,5,2,2
1000000,IPv6,build random,1121887.573,1050293.274,1438452.102,5,2,1
1000000,IPv6,build sorted general API,829633.972,805469.250,1047697.027,5,2,1
1000000,IPv6,build sorted sorted API,711515.922,621324.226,903986.954,5,2,1
1000000,IPv6,sort only,178461.699,172646.793,182320.998,5,2,1
1000000,IPv6,sort plus sorted build,1155361.732,1020141.168,1351473.398,5,2,1
1000000,IPv6,insert one,0.892,0.852,1.333,5,2,500
1000000,IPv6,remove one,2.175,1.936,2.294,5,2,500
1000000,IPv6,apply remove plus add,2.885,2.725,3.226,5,2,500
1000000,IPv6,diff existing old/new both ways,74013.725,73133.066,82820.250,5,2,2
1000000,IPv6,rebuild random new plus diff,1009475.326,995653.241,1198450.806,5,2,1
1000000,IPv6,diff after one add,41506.588,35506.641,44998.255,5,2,2
1000000,IPv6,diff after one remove,51493.592,46214.921,58872.912,5,2,2
1000000,IPv6,one add plus compute diff,40935.228,39542.262,44914.224,5,2,2
1000000,IPv6,one remove plus compute diff,50555.111,47628.065,55572.046,5,2,2
1000000,both,build random,2219687.569,2149573.652,2368012.599,5,2,1
1000000,both,build sorted general API,2015671.285,1944153.631,2173540.897,5,2,1
1000000,both,build sorted sorted API,1572563.177,1486668.422,1748617.210,5,2,1
1000000,both,sort only,285542.639,273501.665,326497.962,5,2,1
1000000,both,sort plus sorted build,2283793.496,2242139.805,2315444.152,5,2,1
1000000,both,insert one,1.988,1.946,2.529,5,2,500
1000000,both,remove one,3.951,3.808,4.581,5,2,500
1000000,both,apply remove plus add,5.924,5.787,6.252,5,2,500
1000000,both,diff existing old/new both ways,172906.040,154545.100,177056.128,5,2,2
1000000,both,rebuild random new plus diff,2376534.190,2201019.860,2561651.143,5,2,1
1000000,both,diff after one add,82397.942,77287.248,89459.212,5,2,2
1000000,both,diff after one remove,101839.466,93531.561,106482.706,5,2,2
1000000,both,one add plus compute diff,83675.910,76533.119,86589.717,5,2,2
1000000,both,one remove plus compute diff,102766.854,92284.135,123628.439,5,2,2
